70% training, 30% testing

0.5236591068793783,YES
0.4840246694668962,YES
0.9994591244721402,YES
0.8488024213665307,NO
0.9967721879202216,YES
0.9858179402589395,YES
0.9904908686252729,YES
0.7442329253216585,YES
0.995477838887791,YES
0.3771383122592057,YES
0.9019526503076145,YES
0.3546225183729488,YES
0.5975924103356793,YES
0.6596651886331819,YES
0.0034352097126766957,NO
0.13053950691587077,YES
0.13492993047191593,YES
0.32873277070106294,YES
0.9533222019274655,YES
0.7028216486422268,YES
0.9986120288640024,YES
0.9504565486767382,YES
0.9910135430699295,YES
0.6703692693986374,YES
0.8880603926865418,YES
0.4594129090792557,YES
0.5009058834575618,YES
0.16578954020784908,NO
0.28759408257392377,NO
0.004622029844859139,NO
0.055985135011281606,NO
0.9687867712725263,YES
0.8327669704424292,YES
0.9726344530667185,YES
0.8367823491786169,YES
0.9232657917757489,YES
0.9775891243176582,YES
0.5566364240444207,YES
1.0687844356642899E-7,NO
4.5033225962225055E-7,NO
0.9973973844285285,YES

50% train, 50% test

0.10647364941183912,NO
0.20218507887558035,YES
0.7535961392483767,YES
0.9938852615289624,YES
0.9947339351977725,YES
0.9992457276949979,YES
0.9958910752316222,YES
0.9645173171882754,YES
0.9848329345171509,YES
0.97903561639555,YES
0.33626267665074816,YES
0.5657686413184992,YES
0.020985233516976298,YES
0.43870284051358194,NO
8.761572650153113E-4,NO
0.6640511934236438,YES
0.020906393926516838,NO
0.6885204225030934,YES
0.008625768439813655,NO
0.9876620261859114,YES
0.0014400914199457007,NO
0.18343027956629138,NO
0.9393627562303902,YES
0.9782705847916531,YES
0.9217006597505326,YES
0.3209238055611394,NO
0.48002628773007305,NO
0.6158131465367619,NO
0.915479219591944,YES
0.9509261698747989,YES
0.35694327149349,NO
1.2569976134749052E-6,NO
0.5884684211580441,YES
0.9912289924959211,YES
0.9502344405192983,YES
0.9936690469057164,YES
0.9957669965128055,YES
0.8420332952531051,YES
0.7494018843070932,YES
0.9989337585607883,YES
0.6124065344157246,NO
0.991394001430745,YES
0.931117103053663,YES
0.9268502454444987,YES
0.4370427513318853,YES
0.009955965256284142,NO
0.058949952056863195,NO
0.186733195423404,YES
0.3762914773075696,YES
0.40041338408933447,YES
0.6319740099485341,YES
0.014329407489790539,NO
0.6026289963119954,YES
0.6080483171245528,YES
0.22942061657914128,YES
0.9648660340563627,YES
0.6676253364556562,YES
0.9997353696886404,YES
0.9856023750610853,YES
0.9756739988495677,YES
0.21743873216149792,YES
0.7137701926186939,YES
0.7645075051128806,NO
0.9208506083435171,YES
0.8131743621860885,YES
0.678836109593269,NO
0.0774211924285232,NO
0.11839610844103123,NO
0.9755919226266955,YES
0.7454983191243986,YES
0.9304898475575841,YES
0.9377914359575587,YES
0.9685320251440083,YES
0.9605350240877515,YES
0.81865224571098,YES
7.970529437813109E-9,NO
2.1412669727223963E-5,NO
0.9915213627953777,YES



--------------------------
--------------------------
--------------------------


65% Train, 35% Test - 120,000 , 0.1 (74% correct)

0.9835734401502467,YES
0.6905017877632907,YES
0.32686698167046824,NO
4.532146314725671E-6,NO
0.6283440210178354,YES
0.9806874940886992,YES
0.9535261809664273,YES
0.9985311924418299,YES
0.9998185183802579,YES
0.38250751701611874,NO
0.5426753452511716,NO
0.9952559195359642,YES
0.8993764488538499,NO
0.9939462767057138,YES
0.9886402653064666,YES
0.9852859277404732,YES
0.6727503002850836,YES
0.843355487278523,NO
0.5134801249204279,YES
0.8645238794489751,YES
0.3011015108463394,NO
0.4304063247715377,YES
0.7739026608629939,YES
0.011328555906263338,NO
0.07729059820139002,YES
0.21263255675641535,YES
0.11965522505406087,YES
0.980691765208925,YES
0.4743143182085506,YES
0.9986191864029326,YES
0.9633915630240281,YES
0.9944101534099656,YES
0.7556770065347189,YES
0.7215695994246164,YES
0.40394776843830044,YES
0.8335450510037281,YES
0.23086750165418257,NO
0.20058803449961704,NO
0.0037145228477476495,NO
0.12836084441883633,YES
0.9204969282468458,YES
0.6954424659809281,YES
0.9532169986905559,YES
0.9499467188606129,YES
0.9721804672476057,YES
0.9730499431196495,YES
0.527891272151553,YES
3.9214128799376634E-8,NO
8.735239084395309E-6,NO
0.9984146798287381,YES

65% Train, 35% test - 130,000 , 0.3 (74% correct)

0.9970155733044528,YES
0.9515670255915331,YES
0.25162244914227905,NO
3.548198727434219E-8,NO
0.6842155787938364,YES
0.9993209752115226,YES
0.9773732670509165,YES
0.9995974218890756,YES
0.9999981800943236,YES
0.9392341214619725,YES
0.5809863228753871,NO
0.9999713807685956,YES
0.8916262181679456,NO
0.9995326391678196,YES
0.996529947195952,YES
0.9944905812521677,YES
0.9035402591197924,YES
0.6158868080309872,NO
0.4545547769577634,YES
0.26656927396367025,YES
0.10654887925633216,NO
0.681047851160615,YES
0.8130755864106574,YES
0.012944688187825527,NO
0.07536983641417021,YES
0.16700999707138228,YES
0.24878047380812124,YES
0.9772742198342169,YES
0.5467730247903919,NO
0.9999123130680657,YES
0.98380844749795,YES
0.9993991073539614,YES
0.5750348276606196,YES
0.9390508366922543,YES
0.5982505065552525,YES
0.8593095700566235,YES
0.29630364305745277,YES
0.40986173027948025,NO
5.59417566191113E-4,NO
0.006623493756670362,NO
0.9277961867523564,YES
0.9401485122073876,YES
0.9905318014336393,YES
0.9687947246093223,YES
0.9774052090222078,YES
0.992524320818171,YES
0.28381160027548585,YES
2.3773066507640606E-12,NO
7.89367333482588E-9,NO
0.9994499220133257,YES

65% Train, 35% Test - 100,000 , 0.3 (72% correct)

0.9952569956940733,YES
0.9532191795245666,YES
0.24194045354853583,NO
3.539074472994049E-8,NO
0.611015753478426,YES
0.9949259356971828,YES
0.9861319871876972,YES
0.9999525319798431,YES
0.9999729667702734,YES
0.3020513799488873,NO
0.2841238653149906,NO
0.9997884022617549,YES
0.8695985986784386,NO
0.9983375431074999,YES
0.9989201970445722,YES
0.9922396476373522,YES
0.6411843527667866,YES
0.9697743519151981,NO
0.521355241488148,YES
0.6370877689816626,YES
0.41397716954838154,YES
0.5082689169827568,YES
0.6658886073820891,YES
9.552200271810786E-4,NO
0.04677053026633792,YES
0.06893658519127831,NO
0.07372520290238815,NO
0.9825604757915831,YES
0.4393999937181332,YES
0.9998842426358353,YES
0.9836256844057502,YES
0.9983092733534371,YES
0.9046310640092043,YES
0.8545078804998011,YES
0.8066547544344621,YES
0.9508950958956055,YES
0.08281322321131089,NO
0.5521468332502026,NO
0.009849867315808763,YES
0.034879329211842,NO
0.9733445966772296,YES
0.8944843270654628,YES
0.9974347021912008,YES
0.9472237014514003,YES
0.9870386832320428,YES
0.992236226938566,YES
0.5262256452838091,YES
1.0645397585151665E-10,NO
1.1827709673545322E-6,NO
0.9994112639674376,YES

65% Train, 35% Test - 100,000, 0.12 (78% correct)

0.9880750630138351,YES
0.8039352722258692,YES
0.27780462654895327,NO
3.3537304191109275E-6,NO
0.7097353567722137,YES
0.9857108690811385,YES
0.9708268650370618,YES
0.9994670531691403,YES
0.9999377752626067,YES
0.6116407696749843,YES
0.685717656967927,YES
0.9982487186356791,YES
0.882851052913569,NO
0.9957384020245919,YES
0.9933013736985501,YES
0.9903708593589529,YES
0.9100633318592628,YES
0.9862398429819456,YES
0.4270592900696926,YES
0.8057998455423974,YES
0.13755397102566824,NO
0.5311274850303748,YES
0.8533368253448431,YES
0.005730731562332681,NO
0.0940162599104909,YES
0.28124489829105415,YES
0.17165285602347413,YES
0.9511607859778027,YES
0.4672656448225156,YES
0.9992115713748375,YES
0.9509017457543559,YES
0.9936746528232525,YES
0.700865862299106,YES
0.7673866327621651,YES
0.5526493401435221,YES
0.5380987404895821,YES
0.12606462339392746,NO
0.36179659349337456,NO
0.0012752323692798357,NO
0.08124614195416585,NO
0.9428374643102216,YES
0.8144708207421653,YES
0.9894436833508896,YES
0.8114518058490828,YES
0.8930645995081765,YES
0.9786760589193466,YES
0.6714264661447504,YES
1.7074809448034174E-8,NO
6.649496194514296E-7,NO
0.9989724237185927,YES
